,judul,abstrak,kbk,judul_tokens,abstrak_tokens,stopword_count_judul,stopword_count_abstrak
546,studi empiris perbandingan kinerja lima algoritma klastering saat digunakan dalam klasifikasi,penelitian ini dilakukan untuk mengetahui kinerja klasifikasi dari lima algoritma klastering k means k medoids density based spatial clustering of applications with noise dbscan expectation maximization em dan support vector clustering svc serta mengetahui secara empiris hubungan perbandingan evaluasi kinerja algoritma hasil yang diperoleh melalui perhitungan akurasi presisi recall f measure dan auc menunjukkan kelima algoritma memiliki performa yang cukup optimal dalam klasifikasi berdasarkan mean hasil evaluasi diperoleh algoritma svc memiliki nilai akurasi dan presisi tertinggi sebesar dan sedangkan algortima dbscan memiliki nilai recall f measure dan auc tertinggi sebesar dan selain itu hasil studi empiris meggunakan uji t berpasangan menunjukkan hubungan perbandingan evaluasi kinerja pada penggunaan input dataset normalisasi dan tidak normalisasi adalah signifikan serta disimpulkan hubungan perbandingan evaluasi kinerja antar algoritma yang digunakan dalam penelitian tidak signifikan,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),studi empiris banding kerja algoritma klastering klasifikasi,teliti kerja klasifikasi algoritma klastering k means k medoids density based spatial clustering applications noise dbscan expectation maximization em support vector clustering svc empiris hubung banding evaluasi kerja algoritma hasil oleh hitung akurasi presisi recall f measure auc algoritma milik performa optimal klasifikasi dasar mean hasil evaluasi oleh algoritma svc milik nilai akurasi presisi tinggi algortima dbscan milik nilai recall f measure auc tinggi hasil studi empiris meggunakan uji pasang hubung banding evaluasi kerja guna input dataset normalisasi normalisasi signifikan simpul hubung banding evaluasi kerja algoritma teliti signifikan,4,41
547,pengembangan ui ux pada sistem simulasi bisnis berbasis website menggunakan metode prototyping,bisnis merupakan kegiatan menjual barang atau jasa kepada konsumen dengan tujuan untuk mendapatkan laba atau keuntungan bisnis umumnya dijalankan sebuah perusahaan dalam bentuk badan usaha tertentu ketika akan memulai bisnis yang baru setiap orang diberikan pilihan terkait modal awal pilihannya antara lain adalah menggunakan modal sendiri atau menggunakan pinjaman berupa investasi dari seorang investor jika memilih mendanai bisnis tersebut sendiri tentu saja membutuhkan perancangan yang akurat agar menghindari kerugian yang mungkin saja bisa di alami sistem simulasi bisnis berbasis website adalah suatu proses melakukan perancangan bisnis yang dapat membantu pengguna mendeskripsikan bisnis hingga perancangan dana bisnis yang akan dibangun dalam pengembangan sistem kali ini menggunakan metode prototyping kemudian di implementasikan menggunakan bahasa pemprograman php black box testing merupakan pengujian suatu aplikasi yang membahas sisi luar suatu sistem dimulai dari tampilan hingga aksi inputan dalam penelitian ini digunakan dua metode black box testing yaitu metode usability testing guna mengidentifikasi masalah dalam desain atau laya agar dapat diterima oleh pengguna dan metode eqivalence partitioning guna mengidentifikasi masukkan data pada setiap form yang ada pada sistem,Teknologi Digital Cerdas (Ubiquitous Computing Technique),kembang ui ux sistem simulasi bisnis bas website metode prototyping,bisnis giat jual barang jasa konsumen tuju laba untung bisnis jalan usaha bentuk badan usaha bisnis orang pilih kait modal pilih modal pinjam investasi investor pilih dana bisnis butuh ancang akurat hindar rugi alami sistem simulasi bisnis bas website proses ancang bisnis bantu guna deskripsi bisnis ancang dana bisnis bangun kembang sistem kali metode prototyping implementasi bahasa pemprograman php black box testing uji aplikasi bahas sisi sistem tampil aksi inputan teliti metode black box testing metode usability testing identifikasi desain laya terima guna metode eqivalence partitioning identifikasi masuk data form sistem,2,82
548,optimalisasi klasifikasi pneumonia dengan algoritma convolutional neural network dan ceed canny,covid telah menjadi pandemi sejak akhir tahun dan sampai saat ini salah satu dampak dari pandemi yang disebabkan oleh coronavirus ini adalah pneumonia secara spesifik pneumonia dapat disebabkan oleh beberapa hal yaitu bakteri dan juga virus beberapa virus yang menyebabkan pneumonia yang saat ini telah yang terdeteksi adalah respiratory syncytial virus rsv dan covid nokes dkk parwanto beberapa metode dapat dilakukan unuk melakukan klasifikasi salah satunya adalah dengan metode convolutional neural network cnn metode cnn merupakan algoritma lanjutan dari neural network yang dikhususkan untuk proses konvolusi karena menggunakan proses konvolusi ini lah cnn sangat cocok untuk melakukan klasifikasi pada data dalam bentuk gambar howard t t dalam penerapannya seperti halnya neural network biasa cnn memerlukan training untuk membentuk sebuah model dang dkk dalam proses training cnn akan melakukan konvolusi pada setiap gambar yang memiliki label sehingga membentuk sebuah model baru tentunya gambar yang dipilih juga berpengaruh dalam proses pembentukan model sehingga terdapat proses data preprocessing untuk mengoptimalkan proses training sebuah model kotsiantis dkk dalam data bentuk gambar preprocessing dapat berupa edge detection proses ini dilakukan untuk mendeteksi sisi dari beberapa objek yang ada pada gambar vincent folorunso dataset yang telah dikumpulkan akan dilakukan preprocessing meliputi pemisahan gambar berdasarkan label dan proses ceed canny dari hasil dataset tersebut maka akan dilakukan training dengan seed awal yang tetap dan diukur skor dan kecepatan trainingnya setelah itu akan dibandingkan dengan proses training tanpa menggunakan ceed canny,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),optimalisasi klasifikasi pneumonia algoritma convolutional neural network ceed canny,covid pandemi salah dampak pandemi sebab coronavirus pneumonia spesifik pneumonia sebab bakteri virus virus sebab pneumonia deteksi respiratory syncytial virus rsv covid nokes dkk parwanto metode unuk klasifikasi salah satu metode convolutional neural network cnn metode cnn algoritma lanjut neural network khusus proses konvolusi proses konvolusi cnn cocok klasifikasi data bentuk gambar howard terap hal neural network cnn training bentuk model dang dkk proses training cnn konvolusi gambar milik label bentuk model gambar pilih pengaruh proses bentuk model proses data preprocessing optimal proses training model kotsiantis dkk data bentuk gambar preprocessing edge detection proses deteksi sisi objek gambar vincent folorunso dataset kumpul preprocessing liput pisah gambar dasar label proses ceed canny hasil dataset training seed ukur skor cepat trainingnya banding proses training ceed canny,2,109
549,pengembangan generator nada lagu secara otomatis menggunakan teknik procedural content generation pada permai jenis rhythm,musik adalah sebuah karya seni yang bertujuan untuk mengekspresikan suatu perasaan melalui kombinasi dari nada suara permai yang menggunakan lagu sebagai dasarnya disebut rhythm atau ritme game rhythm adalah sebuah permai yang menggunakan irama musik sebagai dasar untuk menyelesaikan tantangan yang diberikan yaitu dengan menekan tombol yang tersedia yang disesuaikan dengan irama musik tersebut dalam game tersebut disediakan beberapa lagu dengan berbagai macam tantangan untuk pemain selesaikan namun lagu yang dapat dimainkan terbatas teknik procedural generation dapat mengatasi masalah tersebut dengan mengembangkan sebuah generator nada secara otomatis yang berfungsi menambahkan konten lagu ke dalam game tanpa perlu melakukan update yang memerlukan file dengan ukuran besar generator nada tersebut dapat berfungsi menciptakan konten lagu baru secara otomatis,Game Technology and Machine Learning Applications,kembang generator nada lagu otomatis teknik procedural content generation permai jenis rhythm,musik karya seni tuju ekspresi asa kombinasi nada suara permai lagu dasar rhythm ritme game rhythm permai irama musik dasar selesai tantang tekan tombol sedia sesuai irama musik game sedia lagu tantang main selesai lagu main batas teknik procedural generation atas kembang generator nada otomatis fungsi konten lagu game update file ukur generator nada fungsi cipta konten lagu otomatis,3,57
699,klasifikasi level ambyar pada koleksi lagu didi kempot dengan sentiment analysis menggunakan algoritma naive bayes,selain merupakan sarana untuk menghibur lagu juga merupakan media penyaluran aspirasi dari individu kelompok bahkan masyarakat luas di dalamnya terdapat lirik yang digunakan sebagai alat dalam penyampaian pesannya terkadang menjadi wadah penggambaran realitas sosial salah satu penyanyi yang memiliki banyak karya lagu yang sampai sekarang digemari oleh banyak orang adalah didi kempot dan lagu beliau diberi julukan lagu ambyar ambyar yang merupakan bahasa jawa memiliki arti bercerai berai yang apabila dikaitkan dengan perasaan seseorang adalah perasaan rasa sedih yang luar biasa untuk mengambil sebuah informasi pada dokumen teks berupa lirik lagu lagu didi kempot dapat menggunakan metode analisis sentimen yang merupakan cabang dari ilmu text mining analisis sentimen ini selain untuk melihat pendapat pada suatu masalah juga untuk mengidentifikasi tren di masyarakat yaitu julukan ambyar tersebut sehingga dapat diketahui alasan lagu tersebut mendapat julukan itu dan menjadikannya banyak didengarkan oleh masyarakat maka dirancanglah sistem yang dapat memberikan level penilaian level ambyar dari kata kata yang digunakan pada lirik lagu yang telah diproses dan mengklasifikasiannya secara otomatis lirik akan dibedah setiap katanya dan dikelompokkan berdasarkan level ke ambyarannya tinggi dan rendah dengan analisis sentimen algoritma yang digunakan untuk pengklasifikasian tersebut adalah naive bayes dikarenakan pengimplementasiannya yang terbilang mudah menghasilkan tingkat akurasi yang cukup baik pada beberapa kasus klasifikasi juga memiliki performa yang cukup cepat untuk memproses data dalam penelitian ini teks yang diteliti adalah kata bahasa jawa dari beberapa koleksi lagu didi kempot yang cukup terkenal pada masa sekarang,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),klasifikasi level ambyar koleksi lagu didi kempot sentiment analysis algoritma naive bayes,sarana hibur lagu media salur aspirasi individu kelompok masyarakat luas dalam lirik alat sampai pesan terkadang wadah gambar realitas sosial salah nyanyi milik karya lagu gari orang didi kempot lagu beliau juluk lagu ambyar ambyar bahasa jawa milik arti cerai berai kait asa asa sedih ambil informasi dokumen teks lirik lagu lagu didi kempot metode analisis sentimen cabang ilmu text mining analisis sentimen dapat identifikasi tren masyarakat juluk ambyar alas lagu juluk jadi dengar masyarakat rancang sistem level nilai level ambyar lirik lagu proses klasifikasi otomatis lirik bedah kelompok dasar level ambyar rendah analisis sentimen algoritma klasifikasi naive bayes implementasi bilang mudah hasil tingkat akurasi klasifikasi milik performa cepat proses data teliti teks teliti bahasa jawa koleksi lagu didi kempot kenal,3,117
701,perancangan user interface dan user experience pada aplikasi pembelajaran digital bagi pengguna autis dengan metode human centered design,saat ini di indonesia ada jutaan anak usia sekolah sebagian dari mereka masih mengalami kesulitan dalam mengakses pendidikan diantaranya adalah anak anak berkebutuhan khusus anak anak berkebutuhan khusus merupakan bagian masyarakat yang tergolong rentan beberapa lembaga menyatakan bahwa kecenderungan mereka tidak bersekolah kali lebih besar bahkan saat bersekolah pun pembelajaran yang mereka terima cenderung tidak maksimal terlebih lagi anak anak penyandang autis autisme merupakan suatu gangguan pada perkembangan manusia secara menyeluruh yang mengakibatkan hambatan dalam kemampuan sosialisasi komunikasi dan juga perilaku dengan berbagai hambatan yang mereka miliki proses pembelajaran yang mereka terima cenderung tidak maksimal jika tidak diimbangi dengan sarana dan prasarana yang mewadahi oleh karena itu dalam penelitian ini peneliti ingin merancangan aplikasi pembelajaran digital bagi pengguna autis berbasis website dimana user interface ui dan user experience ux dari aplikasi pembelajaran tersebut disesuaikan dengan kebutuhan pengguna dengan menggunakan metode human centered design hcd peneliti berharap agar dapat menghasilkan ui ux dengan tingkat kepuasan pengguna yang baik karena dalam metode ini iterasi yang dilakukan berfokus pada desain solusi selain itu peneliti juga berpedoman pada web content accessibility guidelines wcag sebuah pedoman pembuatan website yang ramah bagi penyandang disabilitas baik itu autisme maupun difabel lainnya wcag berisi tahapan tahapan standarisasi sebuah website agar memenuhi kriteria ramah disabilitas,Teknologi Digital Cerdas (Ubiquitous Computing Technique),ancang user interface user experience aplikasi ajar digital guna autis metode human centered design,indonesia juta anak usia sekolah alami sulit akses didik anak anak butuh khusus anak anak butuh khusus masyarakat golong rentan lembaga cenderung sekolah kali sekolah ajar terima cenderung maksimal anak anak sandang autis autisme ganggu kembang manusia akibat hambat mampu sosialisasi komunikasi perilaku hambat milik proses ajar terima cenderung maksimal imbang sarana prasarana wadah teliti teliti rancang aplikasi ajar digital guna autis bas website mana user interface ui user experience ux aplikasi ajar sesuai butuh guna metode human centered design hcd teliti harap hasil ui ux tingkat puas guna metode iterasi fokus desain solusi teliti pedoman web content accessibility guidelines wcag pedoman buat website ramah sandang disabilitas autisme difabel wcag isi tahap tahap standar website penuh kriteria ramah disabilitas,4,87
702,peramalan pengunjung unik jurnal dengan multivariate lstm,pengunjung unik merupakan pengunjung yang menggunakan satu ip dalam kurun waktu tertentu banyaknya jumlah pengunjung unik setiap harinya menjadi tolak ukur keberhasilan suatu jurnal untuk mempercepat sistem akreditasi jurnal maka dari itu diperlukan peramalan jumlah pengunjung unik pada jurnal elektronik dalam kurun waktu yang akan datang peramalan merupakan suatu usaha untuk meramalkan keadaan di masa mendatang melalui pengujian keadaan di masa lalu fungsi dari peramalan adalah penunjang dalam pengambilan keputusan keputusan yang baik didasarkan atas pertimbangan terhadap sesuatu yang terjadi pada saat keputusan itu diambil salah satu metode yang banyak digunakan dalam peramalan adalah long short term memory lstm lstm merupakan pengembangan dari arsitektur recurrent neural network rnn yang mampu mengatasi ketergantungan jangka panjang long term dependencies dan memiliki memory cell dengan memory cell arsitektur lstm dapat bekerja lebih baik dibanding jaringan saraf rekuren biasa lainnya kelebihan lain dari metode lstm adalah mampumeramalkan data dengan jarak waktu yang relatif lama misalnya data yang akandigunakan merupakan data pada bulan januari lstm dapat meramalkan data padabulan desember sehingga menjadikannya algoritma yang lebih baik untuk prediksi data berjenis time series peramalan dengan metode lstm ini diharapkan dapatmembantu pengelola jurnal agar dapat melakukan antisipasi pengambilan keputusan terhadap jurnal dengan waktu yang relatif lama tahapan yang akan dilakukan pada penelitian ini terdiri dari tahap yaitu pengumpulan data preprocessing penerapan metode peramalan dan evaluasi tahapan pengumpulan data dilakukan pada laporan statistik website jurnal mulai tanggal januari sampai desember tahap preprocessing yang dilakukan yaitu normalisasi data yang digunakan untuk merubah range data agar bisa menjadi input yang akan di proses metode peramalan menggunakan lstm dengan input multivariate semua atribut yang ada pada dataset yaitu sessions pengunjung unik pegeviews halaman yang dilihat visitors pengunjung new visitors pengunjung baru evaluasi hasil peramalan yang dilakukan menggnakan root mean square error rmse dan lama waktu eksekusi,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),amal unjung unik jurnal multivariate lstm,unjung unik unjung ip kurun banyak unjung unik hari tolak ukur hasil jurnal cepat sistem akreditasi jurnal amal unjung unik jurnal elektronik kurun amal usaha ramal uji fungsi amal tunjang ambil putus putus dasar timbang putus ambil salah metode amal long short term memory lstm lstm kembang arsitektur recurrent neural network rnn atas gantung jangka long term dependencies milik memory cell memory cell arsitektur lstm banding jaring saraf rekuren lebih metode lstm mampumeramalkan data jarak relatif data akandigunakan data januari lstm ramal data padabulan desember jadi algoritma prediksi data jenis time series amal metode lstm harap dapatmembantu kelola jurnal antisipasi ambil putus jurnal relatif tahap teliti tahap kumpul data preprocessing terap metode amal evaluasi tahap kumpul data lapor statistik website jurnal tanggal januari desember tahap preprocessing normalisasi data rubah range data input proses metode amal lstm input multivariate atribut dataset sessions unjung unik pegeviews halaman visitors unjung new visitors unjung evaluasi hasil amal menggnakan root mean square error rmse eksekusi,1,135
703,klasifikasi video youtube bertema pendidikan menggunakan perbandingan metode k nearest neighbor naive bayes dan c ,revolusi media sosial sangat berpengaruh dalam kehidupan salah satunya ialah media soasil youtube yang memiliki peran sangat penting bagi masyarakat youtube adalah sebuah situs web berbagi video yang popular dimana setiap pengguna dapat mengunggah serta menonton berbagai klip video youtube menyediakan konten yang sangat menarik bagi yang memiliki channel terutama sumber daya yang luas untuk konten yang bertema pendidikan dan teknologi pembelajaran rating popularitas channel youtube bisa dinilai dari subscriber viewers shares comment playlist likes data didapatkan dari youtube sehingga pengolahan data dapat dilakukan dengan melihat dari beberapa atribut yang digunakan salah satu teknik pengolahan data dalam data mining yang dapat digunakan dalam proses tersebut adalah klasifikasi klasifikasi yaitu suatu teknik pembentukan model dari data yang belum terklasifikasi yang digunakan untuk mengklasifikasi data baru pada penelitian ini akan dilakukan perbandingan dari ketiga algoritma yaitu k nearest neighbor naive bayes dan c pada klasifikasi video youtube bertema pendidikan hasil perbandingan menunjukkan bahwa metode k nearest neighbor memiliki tingkat akurasi tertinggi dibandingkan dengan algoritma naive bayes dan c yaitu mencapai ,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),klasifikasi video youtube tema didik banding metode k nearest neighbor naive bayes c,revolusi media sosial pengaruh hidup salah satu media soasil youtube milik peran masyarakat youtube situs web bagi video popular mana guna unggah tonton klip video youtube sedia konten tarik milik channel sumber daya luas konten tema didik teknologi ajar rating popularitas channel youtube nilai subscriber viewers shares comment playlist likes data dapat youtube olah data atribut salah teknik olah data data mining proses klasifikasi klasifikasi teknik bentuk model data klasifikasi klasifikasi data teliti banding tiga algoritma k nearest neighbor naive bayes c klasifikasi video youtube tema didik hasil banding metode k nearest neighbor milik tingkat akurasi tinggi banding algoritma naive bayes c capai,2,65
704,pengembangan ui ux aplikasi marketplace digiherbal model ucd pada produk merchant umkm kab probolinggo,indonesia merupakan salah satu negara dengan tingkat penggunaan internet paling tinggi di dunia digitaliasi menyebabkan dampak berkembang pesatnya budaya dalam dunia teknologi khususnya dibidang ekonomi tren menjadikan internet sebagai media pemasaran pada masa pandemi saat ini sangat tinggi bank indonesia mencatat pertumbuhan transaksi marketplace tahun ini hingga dari tahun sebesar rp triliun menjadi rp triliun di tahun angka tersebut menunjukkan besarnya tingkat transaksi online dan banyaknya marketplace memudahkan pengguna bisa memilih sesuai dengan kriteria kenyama dalam penggunaannya namun banyak marketplace yang memiliki desain antarmuka pengguna user interface yang tidak dimengerti oleh pengguna yang berdampak buruk dengan kenyama dan pengalaman pengguna user experience banyak marketplace saat ini dibangun dengan tujuan yang hanya berfokus untuk keuntungan bisnis dan dari segi perancangan pengembang tidak melibatkan proses yang sangat penting yaitu menitik beratkan pengguna dalam prioritas dalam pengembangan sistem fitur yang beragam dan masih banyaknya isi sistem yang tidak on poin membuat para pengguna kesulitan dari permasalahan diatas maka dibutuhkan suatu metode pendekatan pengguna atau user centered design pengguna diajak untuk ikut andil berkontribusi dalam sistem yang dikembangkan sehinggga sistem dapat dimanfaatkan dengan baik dan sesuai kebutuhan yang diperlukan oleh pengguna hasil akhir dalam perancangan ini diharapkan menghasilkan tampilan dan fungsionalitas yang baik dan dapat memiliki nilai usability sehingga membantu mempermudah pengguna dalam penggunaan sistem,Teknologi Digital Cerdas (Ubiquitous Computing Technique),kembang ui ux aplikasi marketplace digiherbal model ucd produk merchant umkm kab probolinggo,indonesia salah negara tingkat guna internet dunia digitaliasi sebab dampak kembang pesat budaya dunia teknologi bidang ekonomi tren jadi internet media pasar pandemi bank indonesia catat tumbuh transaksi marketplace rp triliun rp triliun angka besar tingkat transaksi online banyak marketplace mudah guna pilih sesuai kriteria kenyama guna marketplace milik desain antarmuka guna user interface erti guna dampak buruk kenyama alam guna user experience marketplace bangun tuju fokus untung bisnis segi ancang kembang libat proses titik rat guna prioritas kembang sistem fitur agam banyak isi sistem poin guna sulit masalah atas butuh metode dekat guna user centered design guna ajak andil kontribusi sistem kembang sehinggga sistem manfaat sesuai butuh guna hasil ancang harap hasil tampil fungsionalitas milik nilai usability bantu mudah guna guna sistem,1,88
760,pembuatan sistem penerjemah bahasa isyarat sibi dengan fitur hand keypoints dan metode k nearest neighbor,bahasa isyarat adalah salah satu bahasa yang digunakan oleh penyandang tuna rungu atau tuna wicara untuk berkomunikasi dengan orang lain setiap negara memiliki bahasa isyarat yang berbeda di negara indonesia bahasa isyarat yang digunakan adalah bahasa isyarat sistem isyarat bahasa indonesia sibi namun masyarakat pada umumnya masih kurang memahami bahasa isyarat berdasarkan data dari worlrd health organization who pada bulan maret sekitar juta orang di dunia adalah penyandang tuna rungu maka dari itu diusulkanlah pembuatan sistem untuk menerjemahkan bahasa isyarat sistem tersebut akan mengubah bahasa isyarat yang dimasukkan menjadi sebuah huruf metode yang digunakan dalam sistem ini adalah metode k nearest neighbor metode k nearest neighbor k nn adalah metode klasifikasi untuk mengelompokkan data uji yang jaraknya paling dekat dengan data latih metode ini merupakan metode klasifikasi yang sering digunakan untuk klasifikasi objek karena cukup mudah diimplementasikan dan memiliki algoritma yang sederhana untuk sistem penerjemah yang dirancang akan berfokus pada proses pengenalan bahasa isyarat terhadap huruf alfabet berdasarkan sibi langkah pembuatan sistem ini dimulai dari pengumpulan data menganalisa data titik koordinat hand keypoints mendesain dan menerapkan algoritma sistem menggunakan metode k nearest neighbor dan menguji sistem,Teknologi Digital Cerdas (Ubiquitous Computing Technique),buat sistem terjemah bahasa isyarat sibi fitur hand keypoints metode k nearest neighbor,bahasa isyarat salah bahasa sandang tuna rungu tuna wicara komunikasi orang negara milik bahasa isyarat beda negara indonesia bahasa isyarat bahasa isyarat sistem isyarat bahasa indonesia sibi masyarakat paham bahasa isyarat dasar data worlrd health organization maret juta orang dunia sandang tuna rungu usul buat sistem terjemah bahasa isyarat sistem ubah bahasa isyarat masuk huruf metode sistem metode k nearest neighbor metode k nearest neighbor k nn metode klasifikasi kelompok data uji jarak data latih metode metode klasifikasi klasifikasi objek mudah implementasi milik algoritma sederhana sistem terjemah rancang fokus proses kenal bahasa isyarat huruf alfabet dasar sibi langkah buat sistem kumpul data menganalisa data titik koordinat hand keypoints desain terap algoritma sistem metode k nearest neighbor uji sistem,2,68
761,penerapan algoritma fuzzypada sistem rekomendasi praktik kerja industri di smkn malang,praktik kerja industri merupakan kegiatan pendidikan pelatihan dan pembelajaran yang dilaksanakan di dunia usaha atau dunia industri dalam upaya pendekatan atau untuk meningkatkan mutu para siswa siswi sekolah menengah kejuruhan smk selama ini di smk negeri malang dalam pelaksanaan kegiatan prakerin dan dalam penentuan tempat prakerin masih dilaksanakan dengan manual yaitu dengan melakukan rapat guru tujuan dari penelitian ini adalah untuk mengembangkan sebuah sistem informasi yang akan memudahkan siswa dalam mendaftar prakerin dan memudahkan guru pembimbing untuk memantau kinerja siswa saat melaksanakan kegiatan prakerin pada sistem informasi ini akan dilengkapi dengan rekomendasi tempat industri yang sesuai dengan jurusan yang diambil siswa di smk negeri malang dengan menggunakan fuzzy untuk menentukan rekomendasi yang sesuai dengan keahlian siswa pengembangan sistem informasi prakerin ini menggunakan model waterfall dengan tahap pengembangan meliputi analisis dan identifiksi kebutuhan perancangan sistem dan software implementasi dan pengujian unit integrasi dan pengujian sistem pemeliharaan pengujian yang dilakukan pada sistem berupa aspek fungsionalitas dengan menggunakan teknik pengujian black box hasil yang didapatkan dari pengujian ini adalah persentase uji coba oleh ahli sistem informasi adalah sebesar persentase uji coba oleh administrator adalah sebesar rata rata persentase uji coba oleh siswa adalah sebesar sedangkan dari segi keakuratan kategori rekomendasi yang diberikan oleh sistem informasi diukur menggunakan confusion matrix dan didapatkan persentase sebesar dengan rata rata selisih nilai z adalah sehingga rekomendasi yang dihasilkan oleh sistem informasi dapat dijadikan sebagai acuan atau bahan pertimbangan pihak sekolah untuk menentukan kategori tempat industri sebagai lokasi prakerin,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),terap algoritma fuzzypada sistem rekomendasi praktik kerja industri smkn malang,praktik kerja industri giat didik latih ajar laksana dunia usaha dunia industri upaya dekat tingkat mutu siswa siswi sekolah tengah juruh smk smk negeri malang laksana giat prakerin tentu prakerin laksana manual rapat guru tuju teliti kembang sistem informasi mudah siswa daftar prakerin mudah guru bimbing pantau kerja siswa laksana giat prakerin sistem informasi lengkap rekomendasi industri sesuai jurus ambil siswa smk negeri malang fuzzy tentu rekomendasi sesuai ahli siswa kembang sistem informasi prakerin model waterfall tahap kembang liput analisis identifiksi butuh ancang sistem software implementasi uji unit integrasi uji sistem pelihara uji sistem aspek fungsionalitas teknik uji black box hasil dapat uji persentase uji coba ahli sistem informasi persentase uji coba administrator persentase uji coba siswa segi akurat kategori rekomendasi sistem informasi ukur confusion matrix dapat persentase selisih nilai z rekomendasi hasil sistem informasi jadi acu bahan timbang sekolah tentu kategori industri lokasi prakerin,1,96
782,pengembangan game edukasi pada mata pelajaran komputer dan jaringan dasar sebagai media pembelajaran untuk menumbuhkan hasil belajar siswa di smkn turen,pembelajaran menjadi ujung tombak untuk mencapai tujuan pendidikan pembelajaran merupakan kerjasama yang dilakukan oleh guru dan siswa yang memanfaatkan sagala potensi dan sumber yang ada dari dalam diri siswa seperti minat bakat dan kemampuan dasar maupun potensi dari luar diri siswa seperti lingkungan sarana dan sumber belajar sebagai upaya untuk mencapai tujuan belajar berdasarkan observasi yang dilakukan di smk di malang proses pembelajaran masih berpusat pada guru teacher center dan bahan ajar yang digunakanmasih memanfaatkan bahan ajar berbasis teks text based seperti buku digital modul cetak jobsheet maupun slide power point hal ini berdampak pada proses pembelajaran yang tidak efektif terutama saat pembelajaran teori siswa cenderung bosan mengikut proses pembelajaran karena kurang menarik minat belajar siswa hal tersebut terlihat dari aktivitas yang dilakukan siswa pada saat pembelajaran teori seperti bermain game berbicara dengan teman sebangku tidur dan lain sebagainya selain itu berdasarkan observasi diketahui jika sebagian besar siswa menyukai bermain game hal tersebut terbukti dari hasil angket yang didapatkan data yaitu siswa dari siswa sering bermain game sedangkan siswa lainnya menyatakan terkadang bermain game siswa bermain game di saat istirahat jam pulang sekolah bahkan ada juga yang bermain game saat pembelajaran berlangsung berdasarkan permasalahan dan potensi yang ada akan dilakukan penelitian untuk merencanakan mengembangkan menguji kelayakan dan efektifitas gameedukasi pada mata pelajaran komputer dan jaringan dasar sebagai media pembelajaran untuk menumbuhkan hasil belajar siswa di smkn turen model penelitian dan pengembangan yang akan diterapkan dalam penelitian dan pengembangan game edukasi pada mata pelajaran komputer dan jaringan dasar sebagai media pembelajaran untuk menumbuhkan hasil belajar siswa di smk n turen menggunakan model addie model pengembangan addie dipilih karena langkah langkah pengembangan yang adamudah untuk diterapkan dan sesuai dengan tujuan penelitian dan pengembangan yang dilakukan yaitu untuk merencanakan mengembangkan menguji kelayakan dan efektifitas game edukasi pada mata pelajaran komputer dan jaringan dasar sebagai media pembelajaran untuk menumbuhkan hasil belajar siswa selain itu dalam model ini terdapat evaluasi pada setiap tahap sehingga dapat dikembangkan media yang sesuai dengan kebutuhan di lapangan langkah langkah dalam model addie yaitu analyze design develop implement dan evaluate,Game Technology and Machine Learning Applications,kembang game edukasi mata ajar komputer jaring dasar media ajar tumbuh hasil ajar siswa smkn turen,ajar ujung tombak capai tuju didik ajar kerjasama guru siswa manfaat sagala potensi sumber siswa minat bakat mampu dasar potensi siswa lingkung sarana sumber ajar upaya capai tuju ajar dasar observasi smk malang proses ajar pusat guru teacher center bahan ajar digunakanmasih manfaat bahan ajar bas teks text based buku digital modul cetak jobsheet slide power point dampak proses ajar efektif ajar teori siswa cenderung bosan ikut proses ajar tarik minat ajar siswa aktivitas siswa ajar teori main game bicara teman bang tidur dasar observasi siswa suka main game bukti hasil angket dapat data siswa siswa main game siswa terkadang main game siswa main game istirahat jam pulang sekolah main game ajar dasar masalah potensi teliti rencana kembang uji layak efektifitas gameedukasi mata ajar komputer jaring dasar media ajar tumbuh hasil ajar siswa smkn turen model teliti kembang terap teliti kembang game edukasi mata ajar komputer jaring dasar media ajar tumbuh hasil ajar siswa smk n turen model addie model kembang addie pilih langkah langkah kembang adamudah terap sesuai tuju teliti kembang rencana kembang uji layak efektifitas game edukasi mata ajar komputer jaring dasar media ajar tumbuh hasil ajar siswa model evaluasi tahap kembang media sesuai butuh lapang langkah langkah model addie analyze design develop implement evaluate,5,133
